2025-07-03 11:53:54,997 INFO 📍 Starting GeoNames lookup for city='port of la', country='germany'
2025-07-03 11:53:55,093 INFO 📄 Index 0 | Name: North Port | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Sarasota, ADM3: , ADM4:  | Score: 33.71, Population: 62345 | Fuzzy match: 60.0
2025-07-03 11:53:55,283 INFO 📄 Index 0 | Name: North Port | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Sarasota, ADM3: , ADM4:  | Score: 33.71, Population: 62345 | Fuzzy match: 60.0
2025-07-03 11:53:55,283 INFO 📄 Index 1 | Name: Anchorage | fcl: P, fcode: PPLA2 | ADM1: Alaska, ADM2: Anchorage, ADM3: , ADM4:  | Score: 29.24, Population: 291247 | Fuzzy match: 31.57894736842105
2025-07-03 11:53:55,283 INFO 📄 Index 2 | Name: Port Hueneme | fcl: P, fcode: PPL | ADM1: California, ADM2: Ventura, ADM3: , ADM4:  | Score: 24.15, Population: 22423 | Fuzzy match: 45.45454545454546
2025-07-03 11:53:55,283 INFO 📄 Index 3 | Name: Port Angeles | fcl: P, fcode: PPLA2 | ADM1: Washington, ADM2: Clallam, ADM3: , ADM4:  | Score: 23.67, Population: 19448 | Fuzzy match: 54.54545454545454
2025-07-03 11:53:55,345 INFO 📄 Index 0 | Name: North Port | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Sarasota, ADM3: , ADM4:  | Score: 33.71, Population: 62345 | Fuzzy match: 60.0
2025-07-03 11:53:55,345 INFO 📄 Index 1 | Name: Anchorage | fcl: P, fcode: PPLA2 | ADM1: Alaska, ADM2: Anchorage, ADM3: , ADM4:  | Score: 29.24, Population: 291247 | Fuzzy match: 31.57894736842105
2025-07-03 11:53:55,345 INFO 📄 Index 2 | Name: Port Hueneme | fcl: P, fcode: PPL | ADM1: California, ADM2: Ventura, ADM3: , ADM4:  | Score: 24.15, Population: 22423 | Fuzzy match: 45.45454545454546
2025-07-03 11:53:55,345 INFO 📄 Index 3 | Name: Port Angeles | fcl: P, fcode: PPLA2 | ADM1: Washington, ADM2: Clallam, ADM3: , ADM4:  | Score: 23.67, Population: 19448 | Fuzzy match: 54.54545454545454
2025-07-03 11:53:55,407 INFO 📄 Index 0 | Name: North Port | fcl: P, fcode: PPL | ADM1: Florida, ADM2: Sarasota, ADM3: , ADM4:  | Score: 33.71, Population: 62345 | Fuzzy match: 60.0
2025-07-03 11:53:55,407 INFO 📄 Index 1 | Name: Anchorage | fcl: P, fcode: PPLA2 | ADM1: Alaska, ADM2: Anchorage, ADM3: , ADM4:  | Score: 29.24, Population: 291247 | Fuzzy match: 31.57894736842105
2025-07-03 11:53:55,407 INFO 📄 Index 2 | Name: Port Hueneme | fcl: P, fcode: PPL | ADM1: California, ADM2: Ventura, ADM3: , ADM4:  | Score: 24.15, Population: 22423 | Fuzzy match: 45.45454545454546
2025-07-03 11:53:55,407 INFO 📄 Index 3 | Name: Port Angeles | fcl: P, fcode: PPLA2 | ADM1: Washington, ADM2: Clallam, ADM3: , ADM4:  | Score: 23.67, Population: 19448 | Fuzzy match: 54.54545454545454
2025-07-03 11:53:55,407 WARNING ❌ No match found with fuzzy score > 80 for city: port of la
2025-07-03 11:53:55,408 WARNING ❌ Lookup failed for city='port of la', iso2='US'
